,Is this the Georgian or English version?,What is the district name?,Descriptive Paragraph 1,Descriptive Paragraph 2,Population Data 1,Population Data 2,Population Data 3,Population Data 4,Size of Territory,Footer,Descriptive Paragraph 3,Is this a Tbilisi district?,Does this district have villages that are currently occupied?,,"If this district has occupied villages, please list them."
8/19/2013 16:03:46,Georgian,დედოფლისწყარო,"დედოფლისწყაროს მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს კახეთის რეგიონში.  დედოფლისწყაროს მუნიციპალიტეტი ესაზღვრება: სიღნაღის მუნიციპალიტეტს ჩრდილოეთით, დასავლეთით და ჩრდილო-აღმოსავლეთით; აზერბაიჯანთან ჩრდილო-აღმოსავლეთით, აღმოსავლეთით და სამხრეთით.","დედოფლისწყაროს მუნიციპალიტეტი დაყოფილია 12 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი - დედოფლისწყარო და 11 თემი - არბოშიკი, არხილოსკალო, გამარჯვება, ზემო მაჩხაანი, ზემო ქედი, ოზაანი, საბათლო, სამთაწყარო, ქვემო ქედი, სამრეკლო, ხორნაბუჯი.","მოსახლეობა (სულ) -  30,811","მოსახლეობა სქესის მიხედვით: ქალი - 16,293; კაცი -  14,618","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 7,768; სოფელი -  23,143","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  27,441; სომეხი - 1,286; რუსი - 701; იეზიდი - 5; აზერბაიჯანელი - 1,019; ოსი - 102; აფხაზი - 8; ბერძენი - 153; უკრაინელი -  21; ქისტი -  6","ტერიტორია - 2,529 კმ2",*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/19/2013 15:51:47,Georgian,ზუგდიდი,"ზუგდიდის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. ზუგდიდის მუნიციპალიტეტი ესაზღვრება გალის მუნიცპალიტეტს (ამჟამად ოკუპირებულია) ჩრდილოეთ-დასავლეთით, შავ ზღვას სამხრეთ-დასავლეთით, ხობის მუნიციპალიტეტს სამხრეთით და სამხრეთ-აღმოსავლეთით, ჩხოროწყუს მუნიციპალიტეტს აღმოსავლეთით და წალენჯიხის მუნიციპალიტეტს ჩრდილო-აღმოსავლეთით. ","ზუგდიდის მუნიციპალიტეტი დაყოფილია 30 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი-ზუგდიდი, 17 თემი - ახალაბასთუმანი, ახალკახათი, ანაკლია, დარჩელი, დიდი ნეძი, ერგეტა, ინგირი, კოკი, კორცხელი, ნარაზენი, ოდიში, ორუნუ, ოქტომბერი, რუხი, ჩხორია, ცაიში, ჭაქვინჯი, ჯიხაშკარი. 9 სოფელი - განმუხური, გრიგოლიში,  კახათი, ორსანტია, ურთა, ყულიშკარი, შამგონა, ჭითაწყალი, ჭკადუაში.","მოსახლეობა (სულ) -  167,760","მოსახლეობა სქესის მიხედვით: ქალი - 88,855; კაცი -  77,608","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 68,535; სოფელი -  97,928","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  166,039; სომეხი - 90; რუსი - 1,142; აზერბაიჯანელი - 47; ოსი - 44; აფხაზი - 172; ბერძენი - 13; უკრაინელი -  109",ტერიტორია - 682 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 14:21:27,Georgian,აბაშა,"აბაშის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. ","მუნიციპალიტეტი დაყოფილია 14 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი - აბაშა, 13  თემი - ნორიო, სუჯუნი, კეთილარი, ნაესაკოვო, მარნი, ზანათი, ქოლობანი, პირველი მაისი, სამიქაო, გეზათი, ტყვირი, ძველი აბაშა, ონტოფო. სოფლები - წყემი, სეფიეთი.","მოსახლეობა (სულ) -  28,707","მოსახლეობა სქესის მიხედვით: ქალი - 15,258; კაცი -  13,294","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 6,449; სოფელი -  22,103","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  28,474; სომეხი - 11; რუსი - 124; აზერბაიჯანელი - 10; ოსი - 14; აფხაზი - 32; ბერძენი - ; უკრაინელი -  15",ტერიტორია - 323 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 14:40:21,Georgian,მარტვილი,"მარტვილის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს კახეთის რეგიონში. ","მარტვილის მუნიციპალიტეტი დაყოფილია 21 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი-მარტვილი, 19 თემი - დიდი ჭყონი, სალხინო, ნაგვაზავო, ვედიდკარი, აბედათი, ბანძა, გაჭედილი, თამაკონი, ლეხაინდრაო, კურზუ, ტალერი, ხუნწი, სერგიეთი, კიწია, ინჩხური, ნახუნაო, გურძემი, ნაჯახაო,  დოშაყე. 1 სოფელი - ონოღია. ","მოსახლეობა (სულ) -  44,627","მოსახლეობა სქესის მიხედვით: ქალი - 23,018; კაცი -  21,162","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 5,541; სოფელი -  38,639","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  44,399; სომეხი - 16; რუსი - 131; იეზიდი - ; აზერბაიჯანელი - 8; ოსი - 8; აფხაზი - 37; ბერძენი - 6; უკრაინელი -  14",ტერიტორია - 881 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 15:39:48,Georgian,სენაკი,"სენაკის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. ","სენაკის მუნიციპალიტეტი დაყოფილია 15 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი-სენაკი, 13 თემი - თეკლათი, მენჯი, ნოსირი, ნოქალაქევი, უშაფათი, ფოცხო, ძველი სენაკი, ხორში, ახალსოფელი, ზემო ჭალადიდი, ეკი, ზანა, ლეძაძამე და 1 სოფელი - გეჯეთი.","მოსახლეობა (სულ) -  52,112","მოსახლეობა სქესის მიხედვით: ქალი - 27,898; კაცი -  24,195","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 28,088; სოფელი -  24,005","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  51,532; სომეხი - 92; რუსი - 263; იეზიდი - ; აზერბაიჯანელი - 10; ოსი - 19; აფხაზი - 36; ბერძენი - 5; უკრაინელი -  41",ტერიტორია - 521 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 15:41:31,Georgian,ჩხოროწყუ,"ჩხოროწყუს მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. ","ჩხოროწყუს მუნიციპალიტეტი დაყოფილია 13 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 დაბა - ჩხოროწყუ, 10 თემი - ხაბუმე, მუხური, ლესიჭინე, ქვედა ჩხოროწყუ, კირცხი, ახუთი, ჭოღი, ნაფიჩხოვო, ლეწურწუმი, ნაკიანი. 2 სოფელი - თაია, ზუმი.","მოსახლეობა (სულ) -  30,124","მოსახლეობა სქესის მიხედვით: ქალი - 15,328; კაცი -  14,115","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 4,916; სოფელი -  24,527","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  29,895; სომეხი - 30; რუსი - 127; აზერბაიჯანელი -  1; ოსი - 2; აფხაზი - 36; ბერძენი - 1; უკრაინელი -  20",ტერიტორია - 619 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 16:35:28,Georgian,წალენჯიხა,"წალენჯიხის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. წალენჯიხის მუნიციპალიტეტი ესაზღვრება მესტიის მუნიციპალიტეტს ჩრდილოეთით, გალის მუნიციპალიტეტს (ამჟამად ოკუპირებულია) დასავლეთით, ზუგდიდის მუნიციპალიტეტს (სამხრეთ-დასავლეთით), ჩხოროწყუს მუნიციპალიტეტს სამრეთ-აღმოსავლეთით და აღმოსავლეთით. ","წალენჯიხის მუნიციპალიტეტი დაყოფილია 14 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 2 ქალაქი - ჯვარი, წალენჯიხა, 11 თემი - ობუჯი, ნაკიფუ, მიქავა, ჯგალი, საჩინო, ჩქვალერი, მუჟავა, ფახულიანი, ლია, მედანი, ჭალე, და 1 სოფელი - ეწერი. ","მოსახლეობა (სულ) -  40,133","მოსახლეობა სქესის მიხედვით: ქალი - 21,083; კაცი -  18,862","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 13,721; სოფელი -  26,224","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  39,764; სომეხი - 26; რუსი - 224; აზერბაიჯანელი - 7; ოსი - 5; აფხაზი - 42; ბერძენი - 7; უკრაინელი -  42",ტერიტორია - 647 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 16:42:00,Georgian,ხობი,"ხობის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. ხობის მუნიციპალიტეტი ესაზღვრება ზუგდიდის მუნიციპალიტეტს ჩრდილოეთით, შავ ზღვას დასავლეთით, ფოთს სამხრეთ-დასავლეთით, ლანჩხუთის მუნიციპალიტეტს სამხრეთით, სენაკის მუნიციპალიტეტს აღმოსავლეთით, ჩხოროწყუს მუნიციპალიტეტს ჩრდილო-აღმოსავლეთით. ","მუნიციპალიტეტი დაყოფილია 22 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი - ხობი, 15 თემი - ახალი ხიბულა, ახალსოფელი, ბია, პირველი მაისი, გურიფული, ზემო ქვალონი, თორსა-დღვაბა, ნოჯიხევი, საჯიჯაო, ქარიატა, ქვემო ქვალონი,  ჭალადიდი, შუახორგა, ხამისქური, ხუთა. და 6 სოფელი - პატარა ფოთი, პირველი ხორგა, საგვიჩიო, ყულევი, შავღელე, ძველი ხიბულა. ","მოსახლეობა (სულ) -  41,240","მოსახლეობა სქესის მიხედვით: ქალი - 21,475; კაცი -  19,587","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 5,571; სოფელი -  35,491","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  40,929; სომეხი - 6; რუსი - 216; იეზიდი - ; აზერბაიჯანელი - 16; ოსი -  6; აფხაზი - 29; ბერძენი - 1; უკრაინელი -  21",ტერიტორია - 659 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 16:50:33,Georgian,მესტია,"მესტიის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამეგრელო-ზემო სვანეთის რეგიონში. მესტიის მუნიციპალიტეტი ესაზღვრება: რუსეთის ფედერაციას ჩრდილოეთით და ჩრდილო-აღმოსავლეთით, გულრიფშისა და ოჩამჩირის მუნიციპალიტეტებს (ორივე ამჟამად ოკუპირებულია) დასავლეთით, წალენჯიხის მუნიციპალიტეტს, ჩხოროწყუს მუნიციპალიტეტსა და ლენტეხის მუნიციპალიტეტს სამხრეთით. ","მესტიის მუნიციპალიტეტი დაყოფილია 16 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1  დაბა - მესტია და 15 თემი - ბეჩო, ეწერი, იფარი, კალი, ლატალი, ლახამულა, ლენჯარი, მულახი, ნაკრი, უშგული, ფარი, ცხუმარი, წვირმი, ჭუბერი, ხაიში.","მოსახლეობა (სულ) -  14,248","მოსახლეობა სქესის მიხედვით: ქალი - 7,359; კაცი -  6,902","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 2,582; სოფელი -  11,679","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  14,168; სომეხი - 11; რუსი - 52; ოსი - 3; აფხაზი - 12","ტერიტორია - 3,045 კმ2",*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 17:01:26,Georgian,ფოთი,"ფოთი არის თვითმმართველი ქალაქი, რომელიც მდებარეობს მცხეთა-მთიანეთის რეგიონში. ფოთი ესაზღვრება: ხობის მუნიციპალიტეტს ჩრდილოეთით და აღმოსავლეთით, ლანჩხუთის მუნიციპალიტეტს სამხრეთ-აღმოსავლეთით და აღმოსავლეთით, შავ ზღვას დასავლეთით.","ფოთი დაყოფილია 4 ადმინისტრაციულ-ტერიტორიულ ერთეულად: უბნები - მალთაყვა, კუნძული, ცენტრალური, ნაბადა. ","მოსახლეობა (სულ) -  47,149","მოსახლეობა სქესის მიხედვით: ქალი - 24,665; კაცი -  22,534","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 47,199; სოფელი -  არ მიესადაგება","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  44,414; სომეხი - 194; რუსი - 1,884; იეზიდი - 2; აზერბაიჯანელი - 43; ოსი - 62; აფხაზი - 27; ბერძენი - 53; უკრაინელი -  265",ტერიტორია - 66 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 17:08:51,Georgian,ადიგენი,"ადიგენის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამცხე-ჯავახეთის რეგიონში. ადიგენის მუნიციპალიტეტი ესაზღვრება ჩოხატაურის მუნიციპალიტეტს, ვანის მუნიციპალიტეტსა და ბაღდათის მუნიციპალიტეტს ჩრდილოეთით, ხულოს მუნიციპალიტეტს დასავლეთით, თურქეთს სამხრეთით და ახალციხის მუნიციპალიტეტს აღმოსავლეთით. ","ადიგენის მუნიციპალიტეტი დაყოფილია 15 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 2 დაბა - ადიგენი და აბასთუმანი, 13 თემი - არალი, ბენერა, ბოლაჯური, გორგული, ვარხანი, დიდი ზანავი, ლელოვანი,  მლაშე, მოხე, უდე, ფხერო, ჩორჩანი, ჭეჭლა.","მოსახლეობა (სულ) -  20,752","მოსახლეობა სქესის მიხედვით: ქალი - 10,936; კაცი -  10,235","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 2,544; სოფელი -  18,627","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  19,860; სომეხი - 698; რუსი - 101; იეზიდი - ; აზერბაიჯანელი - 17; ოსი - 28; აფხაზი - 13; ბერძენი - 7; უკრაინელი -  20",ტერიტორია - 800 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 17:30:09,Georgian,ასპინძა,"ასპინძის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამცხე-ჯავახეთის რეგიონში. ასპინძის მუნიციპალიტეტი ესაზღვრება ბორჯომის მუნიციპალიტეტს ჩრდილოეთით, ახალციხის მუნიციპალიტეტს ჩრდილოეთით და ჩრდილოეთ-დასავლეთით, თურქეთს სამხრეთ-დასავლეთით და ახალქალაქის მუნიციპალიტეტს აღმოსავლეთით.","მუნიციპალიტეტი დაყოფილია  14 ადმინისტრაციულ-ტერიტორიულ ერთეულად: დაბა ასპინძა - ასპინძა. 8 თემი  ვარგავი, იდუმალა, თმოგვი, ნაქალაქევი, ორგორი, სარო, ტოლოშა, ძველი. 5 სოფელი - აწყვიტი, დამალა,  ოთა,  რუსთავი, ხიზაბავრა.","მოსახლეობა (სულ) -  13,010","მოსახლეობა სქესის მიხედვით: ქალი - 6,751; კაცი -  6,355","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 3,324; სოფელი -  9,782","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  10,671; სომეხი - 2,273; რუსი - 34; ოსი - 9; აფხაზი - 4; ბერძენი - 8; უკრაინელი -  5",ტერიტორია - 825 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 17:41:46,Georgian,ახალქალაქი,"ახალქალაქის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამცხე-ჯავახეთის რეგიონში. ახალქალაქის მუნიციპალიტეტი ესაზღვრება: ბორჯომის მუნიციპალიტეტს ჩრდილოეთით, ასპინძის მუნიციპალიტეტს დასავლეთით, თურქეთს სამხრეთ-დასავლეთით, ნინოწმინდის მუნიციპალიტეტს სამხრეთ-აღმოსავლეთით და აღმოსავლეთით და წალკის მუნიციპალიტეტს აღმოსავლეთით. ","ახალქალაქის მუნიციპალიტეტი დაყოფილია 22 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი - ახალქალაქი, 15 თემი - აზავრეთი, ალასტანი, არაგვა,  ბარალეთი, გოგაშენი, ვაჩიანი, გუმბურდო, ზაკი, კარზახი,   კარტიკამი,  კოჩიო,  ოკამი, სულდა, ხავეთი, ხოსპიო და 6 სოფელი - დილისკა, კოთელია, პტენა, ტურცხი, ჩუნჩხა, ხანდო.","მოსახლეობა (სულ) -  60,975","მოსახლეობა სქესის მიხედვით: ქალი - 31,199; კაცი -  29,287","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 9,768; სოფელი -  50,718","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  3,214; სომეხი - 57,516; რუსი - 157; იეზიდი - ; აზერბაიჯანელი - 3; ოსი - 10; აფხაზი - 3; ბერძენი - 51; უკრაინელი -  14","ტერიტორია - 1,235 კმ2",*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 17:48:11,Georgian,ახალციხე,"ახალციხის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამცხე-ჯავახეთის რეგიონში. ახალციხის მუნიციპალიტეტი ესაზღვრება ბაღდათის მუნიციპალიტეტს ჩრდილოეთით, ადიგენის მუნიციპალიტეტს დასავლეთით, თურქეთს სამხრეთით, ასპინძის მუნიციპალიტეტს სამხრეთ-აღმოსავლეთით და სამხრეთით, ბორჯომის მუნიციპალიტეტს ჩრდილოეთ-აღმოსავლეთით. ","ახალციხის მუნიციპალიტეტი დაყოფილია 16 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 2 ქალაქი - ახალციხე, ვალე და 14 თემი - აგარა, ანდრიაწმინდა, აწყური, ელიაწმინდა, კლდე, მინაძე, პამაჯი, საძელი, სვირი, სხივლისი, ურაველი, ფერსა, წყალთბილა, წყრუთი.","მოსახლეობა (სულ) -  46,134","მოსახლეობა სქესის მიხედვით: ქალი - 23,796; კაცი -  21,945","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 23,146; სოფელი -  22,595","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  28,473; სომეხი - 16,879; რუსი - 410; აზერბაიჯანელი - 13; ოსი - 52; აფხაზი - 12; ბერძენი - 129; უკრაინელი -  42","ტერიტორია - 1,010 კმ2",*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 17:53:14,Georgian,ბორჯომი,"ბორჯომის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს სამცხე-ჯავახეთის რეგიონში.  ","მუნიციპალიტეტი დაყოფილია 11 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 1 ქალაქი - ბორჯომი, 2 დაბა - ბაკურიანი, წაღვერი და  6 თემი - ბალანთა, დვირი, ტაბაწყური, ტაძრისი, ტბა, ყვიბისი. 2 სოფელი - ახალდაბა, ციხისჯვარი. ","მოსახლეობა (სულ) -  32,422","მოსახლეობა სქესის მიხედვით: ქალი - 17,740; კაცი -  15,334","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 20,970; სოფელი -  12,104","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  27,301; სომეხი - 3,124; რუსი - 585; იეზიდი - 1; აზერბაიჯანელი - 24; ოსი - 719; აფხაზი - 10; ბერძენი - 540; უკრაინელი -  75","ტერიტორია - 1,189 კმ2",*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებმოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,,,,,
8/20/2013 18:48:24,Georgian,გორი,"გორის მუნიციპალიტეტი არის თვითმმართველი ერთეული, რომელიც მდებარეობს შიდა ქართლის რეგიონში. გორის მუნიციპალიტეტი ესაზღვრება ლიახვის მუნიციპალიტეტს ჩრდილოეთით და ახალგორის მუნიციპალიტეტს ჩრდილო-აღმოსავლეთით (ორივე მუნიციპალიტეტი ამჟამად ოკუპირებულია), ქარელის მუნიციპალიტეტს (რომლის რამდენიმე სოფელი ამჟამად ოკუპირებულია) დასავლეთით, ბორჯომის მუნიციპალიტეტი სამხრეთ-დასავლეთით, წალკის მუნიციპალიტეტი სამხრეთით და კასპის მუნიციპალიტეტი აღმოსავლეთით.","გორის მუნიციპალიტეტი დაყოფილია 36 ადმინისტრაციულ-ტერიტორიულ ერთეულად: 2 ქალაქი-გორი და ცხინვალი (ცხინვალი ამჟამად ოკუპირებულია), 26 თემი - ათენი, ახალუბანი, ბერბუკი, ბიკარი, ბოშური, გერი, დიცი, ზეღულეთი, კარალეთი, მერეთი, მეჯვრისხევი, მღებრიანი, ნიქოზი, საკავრი, სკრა, ტანისხიდი, ტირძნისი, ტყვიავი, ქვახვრელი, ღრომი, შავშვები, შინდისი, ძარი, ძევერი, ხეთაგუროვი, ხიდისთავი; 4 თემი, რომლებიც ამჟამად ოკუპირებულია მთლიანად -  ბელოთა, ვანათი, ქსუისი და 4 თემი, რომლების შემადგენლობაში მყოფი სოფლების ნაწილი ამჟამად ოკუპირებულია:  ბერულა (თემში ოკუპირებულია შემდეგი სოფლები: მამისაანთუბანი, ფრისი, არგვიცი, ერედვი), ვარიანი (თემში ოკუპირებულია სფელი ახალდაბა), ქემერტი (თემში ოკუპირებულია შემდეგი სოფლები: სვერი, ხეითი და ძარწემი), კურთი (თემში ოკუპირებულია სოფლები ზემო აჩაბეთი და კეხვი).","მოსახლეობა (სულ) -  148,686","მოსახლეობა სქესის მიხედვით: ქალი - 77,149; კაცი -  71,401","მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 49,522; სოფელი -  99,028","მოსახლეობა ეროვნების მიხედვით:  ქართველი -  137,957; სომეხი - 1,972; რუსი - 1,136; აზერბაიჯანელი - 607; ოსი - 6,405; აფხაზი - 45; ბერძენი - 97; უკრაინელი -  123","ტერიტორია - 2,327 კმ2",*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ინფორმაცია ოკუპირებული ტერიტორიების შესახებ მოწოდებულია საქალთველოს თავდაცვის სამინისტროს მიერ 2013 წლის 15 აგვისტოს.,,,Yes,,"ცხინვალი ბელოთა 
ვანათი
ქსუისი
მამისაანთუბანი
ფრისი, არგვიც, ერედა
სვერი
ხეითი ძარწემი
ზემო აჩაბეთი
კეხვი"
